TYPE,NEWS
REAL,The head of a conservative Republican faction in the U.S. Congress  who voted this month for a huge expansion of the national debt to pay for tax cuts  called himself a  fiscal conservative  on Sunday and urged budget restraint in 2018. In keeping with a sharp pivot under way among Republicans  U.S. Representative Mark Meadows  speaking on CBS   Face the Nation   drew a hard line on federal spending  which lawmakers are bracing to do battle over in January. When they return from the holidays on Wednesday  lawmakers will begin trying to pass a federal budget in a fight likely to be linked to other issues  such as immigration policy  even as the November congressional election campaigns approach in which Republicans will seek to keep control of Congress. President Donald Trump and his Republicans want a big budget increase in military spending  while Democrats also want proportional increases for non-defense  discretionary  spending on programs that support education  scientific research  infrastructure  public health and environmental protection.  The  Trump  administration has already been willing to say   We re going to increase non-defense discretionary spending ... by about 7 percent    Meadows  chairman of the small but influential House Freedom Caucus  said on the program.  Now  Democrats are saying that s not enough  we need to give the government a pay raise of 10 to 11 percent. For a fiscal conservative  I don t see where the rationale is. ... Eventually you run out of other people s money   he said. Meadows was among Republicans who voted in late December for their party s debt-financed tax overhaul  which is expected to balloon the federal budget deficit and add about $1.5 trillion over 10 years to the $20 trillion national debt.  It s interesting to hear Mark talk about fiscal responsibility   Democratic U.S. Representative Joseph Crowley said on CBS. Crowley said the Republican tax bill would require the  United States to borrow $1.5 trillion  to be paid off by future generations  to finance tax cuts for corporations and the rich.  This is one of the least ... fiscally responsible bills we ve ever seen passed in the history of the House of Representatives. I think we re going to be paying for this for many  many years to come   Crowley said. Republicans insist the tax package  the biggest U.S. tax overhaul in more than 30 years   will boost the economy and job growth. House Speaker Paul Ryan  who also supported the tax bill  recently went further than Meadows  making clear in a radio interview that welfare or  entitlement reform   as the party often calls it  would be a top Republican priority in 2018. In Republican parlance   entitlement  programs mean food stamps  housing assistance  Medicare and Medicaid health insurance for the elderly  poor and disabled  as well as other programs created by Washington to assist the needy. Democrats seized on Ryan s early December remarks  saying they showed Republicans would try to pay for their tax overhaul by seeking spending cuts for social programs. But the goals of House Republicans may have to take a back seat to the Senate  where the votes of some Democrats will be needed to approve a budget and prevent a government shutdown. Democrats will use their leverage in the Senate  which Republicans narrowly control  to defend both discretionary non-defense programs and social spending  while tackling the issue of the  Dreamers   people brought illegally to the country as children. Trump in September put a March 2018 expiration date on the Deferred Action for Childhood Arrivals  or DACA  program  which protects the young immigrants from deportation and provides them with work permits. The president has said in recent Twitter messages he wants funding for his proposed Mexican border wall and other immigration law changes in exchange for agreeing to help the Dreamers. Representative Debbie Dingell told CBS she did not favor linking that issue to other policy objectives  such as wall funding.  We need to do DACA clean   she said.  On Wednesday  Trump aides will meet with congressional leaders to discuss those issues. That will be followed by a weekend of strategy sessions for Trump and Republican leaders on Jan. 6 and 7  the White House said. Trump was also scheduled to meet on Sunday with Florida Republican Governor Rick Scott  who wants more emergency aid. The House has passed an $81 billion aid package after hurricanes in Florida  Texas and Puerto Rico  and wildfires in California. The package far exceeded the $44 billion requested by the Trump administration. The Senate has not yet voted on the aid.   
REAL,Transgender people will be allowed for the first time to enlist in the U.S. military starting on Monday as ordered by federal courts  the Pentagon said on Friday  after President Donald Trump s administration decided not to appeal rulings that blocked his transgender ban. Two federal appeals courts  one in Washington and one in Virginia  last week rejected the administration s request to put on hold orders by lower court judges requiring the military to begin accepting transgender recruits on Jan. 1. A Justice Department official said the administration will not challenge those rulings.  The Department of Defense has announced that it will be releasing an independent study of these issues in the coming weeks. So rather than litigate this interim appeal before that occurs  the administration has decided to wait for DOD s study and will continue to defend the president s lawful authority in District Court in the meantime   the official said  speaking on condition of anonymity. In September  the Pentagon said it had created a panel of senior officials to study how to implement a directive by Trump to prohibit transgender individuals from serving. The Defense Department has until Feb. 21 to submit a plan to Trump. Lawyers representing currently-serving transgender service members and aspiring recruits said they had expected the administration to appeal the rulings to the conservative-majority Supreme Court  but were hoping that would not happen. Pentagon spokeswoman Heather Babb said in a statement   As mandated by court order  the Department of Defense is prepared to begin accessing transgender applicants for military service Jan. 1. All applicants must meet all accession standards.  Jennifer Levi  a lawyer with gay  lesbian and transgender advocacy group GLAD  called the decision not to appeal  great news.   I m hoping it means the government has come to see that there is no way to justify a ban and that it s not good for the military or our country   Levi said. Both GLAD and the American Civil Liberties Union represent plaintiffs in the lawsuits filed against the administration. In a move that appealed to his hard-line conservative supporters  Trump announced in July that he would prohibit transgender people from serving in the military  reversing Democratic President Barack Obama s policy of accepting them. Trump said on Twitter at the time that the military  cannot be burdened with the tremendous medical costs and disruption that transgender in the military would entail.  Four federal judges - in Baltimore  Washington  D.C.  Seattle and Riverside  California - have issued rulings blocking Trump s ban while legal challenges to the Republican president s policy proceed. The judges said the ban would likely violate the right under the U.S. Constitution to equal protection under the law. The Pentagon on Dec. 8 issued guidelines to recruitment personnel in order to enlist transgender applicants by Jan. 1. The memo outlined medical requirements and specified how the applicants  sex would be identified and even which undergarments they would wear. The Trump administration previously said in legal papers that the armed forces were not prepared to train thousands of personnel on the medical standards needed to process transgender applicants and might have to accept  some individuals who are not medically fit for service.  The Obama administration had set a deadline of July 1  2017  to begin accepting transgender recruits. But Trump s defense secretary  James Mattis  postponed that date to Jan. 1  2018  which the president s ban then put off indefinitely. Trump has taken other steps aimed at rolling back transgender rights. In October  his administration said a federal law banning gender-based workplace discrimination does not protect transgender employees  reversing another Obama-era position. In February  Trump rescinded guidance issued by the Obama administration saying that public schools should allow transgender students to use the restroom that corresponds to their gender identity.   
REAL,The special counsel investigation of links between Russia and President Trump s 2016 election campaign should continue without interference in 2018  despite calls from some Trump administration allies and Republican lawmakers to shut it down  a prominent Republican senator said on Sunday. Lindsey Graham  who serves on the Senate armed forces and judiciary committees  said Department of Justice Special Counsel Robert Mueller needs to carry on with his Russia investigation without political interference.  This investigation will go forward. It will be an investigation conducted without political influence   Graham said on CBS s Face the Nation news program.  And we all need to let Mr. Mueller do his job. I think he s the right guy at the right time.   The question of how Russia may have interfered in the election  and how Trump s campaign may have had links with or co-ordinated any such effort  has loomed over the White House since Trump took office in January. It shows no sign of receding as Trump prepares for his second year in power  despite intensified rhetoric from some Trump allies in recent weeks accusing Mueller s team of bias against the Republican president. Trump himself seemed to undercut his supporters in an interview last week with the New York Times in which he said he expected Mueller was  going to be fair.     Russia s role in the election and the question of possible links to the Trump campaign are the focus of multiple inquiries in Washington. Three committees of the Senate and the House of Representatives are investigating  as well as Mueller  whose team in May took over an earlier probe launched by the U.S. Federal Bureau of Investigation  FBI . Several members of the Trump campaign and administration have been convicted or indicted in the investigation.  Trump and his allies deny any collusion with Russia during the campaign  and the Kremlin has denied meddling in the election. Graham said he still wants an examination of the FBI s use of a dossier on links between Trump and Russia that was compiled by a former British spy  Christopher Steele  which prompted Trump allies and some Republicans to question Mueller s inquiry.   On Saturday  the New York Times reported that it was not that dossier that triggered an early FBI probe  but a tip from former Trump campaign foreign policy adviser George Papadopoulos to an Australian diplomat that Russia had damaging information about former Trump rival Hillary Clinton.   I want somebody to look at the way the Department of Justice used this dossier. It bothers me greatly the way they used it  and I want somebody to look at it   Graham said. But he said the Russia investigation must continue.  As a matter of fact  it would hurt us if we ignored it   he said.   
REAL,Trump campaign adviser George Papadopoulos told an Australian diplomat in May 2016 that Russia had political dirt on Democratic presidential candidate Hillary Clinton  the New York Times reported on Saturday. The conversation between Papadopoulos and the diplomat  Alexander Downer  in London was a driving factor behind the FBI s decision to open a counter-intelligence investigation of Moscow s contacts with the Trump campaign  the Times reported. Two months after the meeting  Australian officials passed the information that came from Papadopoulos to their American counterparts when leaked Democratic emails began appearing online  according to the newspaper  which cited four current and former U.S. and foreign officials. Besides the information from the Australians  the probe by the Federal Bureau of Investigation was also propelled by intelligence from other friendly governments  including the British and Dutch  the Times said. Papadopoulos  a Chicago-based international energy lawyer  pleaded guilty on Oct. 30 to lying to FBI agents about contacts with people who claimed to have ties to top Russian officials. It was the first criminal charge alleging links between the Trump campaign and Russia. The White House has played down the former aide s campaign role  saying it was  extremely limited  and that any actions he took would have been on his own. The New York Times  however  reported that Papadopoulos helped set up a meeting between then-candidate Donald Trump and Egyptian President Abdel Fattah al-Sisi and edited the outline of Trump s first major foreign policy speech in April 2016. The federal investigation  which is now being led by Special Counsel Robert Mueller  has hung over Trump s White House since he took office almost a year ago. Some Trump allies have recently accused Mueller s team of being biased against the Republican president. Lawyers for Papadopoulos did not immediately respond to requests by Reuters for comment. Mueller s office declined to comment. Trump s White House attorney  Ty Cobb  declined to comment on the New York Times report.  Out of respect for the special counsel and his process  we are not commenting on matters such as this   he said in a statement. Mueller has charged four Trump associates  including Papadopoulos  in his investigation. Russia has denied interfering in the U.S. election and Trump has said there was no collusion between his campaign and Moscow.   
REAL,President Donald Trump called on the U.S. Postal Service on Friday to charge  much more  to ship packages for Amazon  AMZN.O   picking another fight with an online retail giant he has criticized in the past.      Why is the United States Post Office  which is losing many billions of dollars a year  while charging Amazon and others so little to deliver their packages  making Amazon richer and the Post Office dumber and poorer? Should be charging MUCH MORE!  Trump wrote on Twitter.  The president s tweet drew fresh attention to the fragile finances of the Postal Service at a time when tens of millions of parcels have just been shipped all over the country for the holiday season.  The U.S. Postal Service  which runs at a big loss  is an independent agency within the federal government and does not receive tax dollars for operating expenses  according to its website.  Package delivery has become an increasingly important part of its business as the Internet has led to a sharp decline in the amount of first-class letters. The president does not determine postal rates. They are set by the Postal Regulatory Commission  an independent government agency with commissioners selected by the president from both political parties. That panel raised prices on packages by almost 2 percent in November.  Amazon was founded by Jeff Bezos  who remains the chief executive officer of the retail company and is the richest person in the world  according to Bloomberg News. Bezos also owns The Washington Post  a newspaper Trump has repeatedly railed against in his criticisms of the news media. In tweets over the past year  Trump has said the  Amazon Washington Post  fabricated stories. He has said Amazon does not pay sales tax  which is not true  and so hurts other retailers  part of a pattern by the former businessman and reality television host of periodically turning his ire on big American companies since he took office in January. Daniel Ives  a research analyst at GBH Insights  said Trump s comment could be taken as a warning to the retail giant. However  he said he was not concerned for Amazon.  We do not see any price hikes in the future. However  that is a risk that Amazon is clearly aware of and  it  is building out its distribution  system  aggressively   he said. Amazon has shown interest in the past in shifting into its own delivery service  including testing drones for deliveries. In 2015  the company spent $11.5 billion on shipping  46 percent of its total operating expenses that year.  Amazon shares were down 0.86 percent to $1 175.90 by early afternoon. Overall  U.S. stock prices were down slightly on Friday.  Satish Jindel  president of ShipMatrix Inc  which analyzes shipping data  disputed the idea that the Postal Service charges less than United Parcel Service Inc  UPS.N  and FedEx Corp  FDX.N   the other biggest players in the parcel delivery business in the United States. Many customers get lower rates from UPS and FedEx than they would get from the post office for comparable services  he said. The Postal Service delivers about 62 percent of Amazon packages  for about 3.5 to 4 million a day during the current peak year-end holiday shipping season  Jindel said. The Seattle-based company and the post office have an agreement in which mail carriers take Amazon packages on the last leg of their journeys  from post offices to customers  doorsteps. Amazon s No. 2 carrier is UPS  at 21 percent  and FedEx is third  with 8 percent or so  according to Jindel. Trump s comment tapped into a debate over whether Postal Service pricing has kept pace with the rise of e-commerce  which has flooded the mail with small packages.Private companies like UPS have long claimed the current system unfairly undercuts their business. Steve Gaut  a spokesman for UPS  noted that the company values its  productive relationship  with the postal service  but that it has filed with the Postal Regulatory Commission its concerns about the postal service s methods for covering costs. Representatives for Amazon  the White House  the U.S. Postal Service and FedEx declined comment or were not immediately available for comment on Trump s tweet. According to its annual report  the Postal Service lost $2.74 billion this year  and its deficit has ballooned to $61.86 billion.  While the Postal Service s revenue for first class mail  marketing mail and periodicals is flat or declining  revenue from package delivery is up 44 percent since 2014 to $19.5 billion in the fiscal year ended Sept. 30  2017. But it also lost about $2 billion in revenue when a temporary surcharge expired in April 2016. According to a Government Accountability Office report in February  the service is facing growing personnel expenses  particularly $73.4 billion in unfunded pension and benefits liabilities. The Postal Service has not announced any plans to cut costs. By law  the Postal Service has to set prices for package delivery to cover the costs attributable to that service. But the postal service allocates only 5.5 percent of its total costs to its business of shipping packages even though that line of business is 28 percent of its total revenue.   
REAL,The White House said on Friday it was set to kick off talks next week with Republican and Democratic congressional leaders on immigration policy  government spending and other issues that need to be wrapped up early in the new year. The expected flurry of legislative activity comes as Republicans and Democrats begin to set the stage for midterm congressional elections in November. President Donald Trump s Republican Party is eager to maintain control of Congress while Democrats look for openings to wrest seats away in the Senate and the House of Representatives. On Wednesday  Trump s budget chief Mick Mulvaney and legislative affairs director Marc Short will meet with Senate Majority Leader Mitch McConnell and House Speaker Paul Ryan - both Republicans - and their Democratic counterparts  Senator Chuck Schumer and Representative Nancy Pelosi  the White House said. That will be followed up with a weekend of strategy sessions for Trump  McConnell and Ryan on Jan. 6 and 7 at the Camp David presidential retreat in Maryland  according to the White House. The Senate returns to work on Jan. 3 and the House on Jan. 8. Congress passed a short-term government funding bill last week before taking its Christmas break  but needs to come to an agreement on defense spending and various domestic programs by Jan. 19  or the government will shut down. Also on the agenda for lawmakers is disaster aid for people hit by hurricanes in Puerto Rico  Texas and Florida  and by wildfires in California. The House passed an $81 billion package in December  which the Senate did not take up. The White House has asked for a smaller figure  $44 billion. Deadlines also loom for soon-to-expire protections for young adult immigrants who entered the country illegally as children  known as  Dreamers.  In September  Trump ended Democratic former President Barack Obama s Deferred Action for Childhood Arrivals  DACA  program  which protected Dreamers from deportation and provided work permits  effective in March  giving Congress until then to devise a long-term solution. Democrats  some Republicans and a number of large companies have pushed for DACA protections to continue. Trump and other Republicans have said that will not happen without Congress approving broader immigration policy changes and tougher border security. Democrats oppose funding for a wall promised by Trump along the U.S.-Mexican border.   The Democrats have been told  and fully understand  that there can be no DACA without the desperately needed WALL at the Southern Border and an END to the horrible Chain Migration   ridiculous Lottery System of Immigration etc   Trump said in a Twitter post on Friday. Trump wants to overhaul immigration rules for extended families and others seeking to live in the United States. Republican U.S. Senator Jeff Flake  a frequent critic of the president  said he would work with Trump to protect Dreamers.  We can fix DACA in a way that beefs up border security  stops chain migration for the DREAMers  and addresses the unfairness of the diversity lottery. If POTUS  Trump  wants to protect these kids  we want to help him keep that promise   Flake wrote on Twitter. Congress in early 2018 also must raise the U.S. debt ceiling to avoid a government default. The U.S. Treasury would exhaust all of its borrowing options and run dry of cash to pay its bills by late March or early April if Congress does not raise the debt ceiling before then  according to the nonpartisan Congressional Budget Office. Trump  who won his first major legislative victory with the passage of a major tax overhaul this month  has also promised a major infrastructure plan.   
REAL,President Donald Trump said on Thursday he believes he will be fairly treated in a special counsel investigation into Russian meddling in the U.S. presidential election  but said he did not know how long the probe would last. The federal investigation has hung over Trump s White House since he took office almost a year ago  and some Trump allies have in recent weeks accused the team of Justice Department Special Counsel Robert Mueller of being biased against the Republican president. But in an interview with the New York Times  Trump appeared to shrug off concerns about the investigation  which was prompted by U.S. intelligence agencies  conclusion that Russia tried to help Trump defeat Democrat Hillary Clinton by hacking and releasing embarrassing emails and disseminating propaganda.  There s been no collusion. But I think he s going to be fair   Trump said in what the Times described as a 30-minute impromptu interview at his golf club in West Palm Beach  Florida. Mueller has charged four Trump associates in his investigation. Russia has denied interfering in the U.S. election. U.S. Deputy Attorney General Rod Rosenstein said this month that he was not aware of any impropriety by Mueller s team. Trump s lawyers have been saying for weeks that they had expected the Mueller investigation to wrap up quickly  possibly by the end of 2017. Mueller has not commented on how long it will last. Trump told the Times that he did not know how long the investigation would take.  Timing-wise  I can t tell you. I just don t know   he said. Trump said he thought a prolonged probe  makes the country look bad  but said it has energized his core supporters.  What it s done is  it s really angered the base and made the base stronger. My base is strong than it s ever been   he said. The interview was a rare break in Trump s Christmas vacation in Florida. He has golfed each day aside from Christmas Day  and mainly kept a low profile  apart from the occasional flurry of tweets. He spent one day golfing with Republican Senator David Perdue from Georgia  who has pushed legislation to cap immigration numbers  and had dinner on Thursday with Commerce Secretary Wilbur Ross  an international trade hawk. Trump told the Times he hoped to work with Democrats in the U.S. Congress on a spending plan to fix roads and other infrastructure  and on protections for a group of undocumented immigrants who were brought to the United States as children. Trump spoke about trade issues  saying he had backed off his hard line on Chinese trade practices in the hope that Beijing would do more to pressure North Korea to end its nuclear and missile testing program. He said he had been disappointed in the results. He also complained about the North American Free Trade Agreement  NAFTA   which his administration is attempting to renegotiate in talks with Mexico and Canada. Trump said Canadian Prime Minister Justin Trudeau had played down the importance of Canadian oil and lumber exports to the United States when looking at the balance of trade between the two countries.  If I don t make the right deal  I ll terminate NAFTA in two seconds. But we re doing pretty good   Trump said.   
REAL, The following statements were posted to the verified Twitter accounts of U.S. President Donald Trump   realDonaldTrump and  POTUS.  The opinions expressed are his own. Reuters has not edited the statements or confirmed their accuracy.   realDonaldTrump   - While the Fake News loves to talk about my so-called low approval rating   foxandfriends just showed that my rating on Dec. 28  2017  was approximately the same as President Obama on Dec. 28  2009  which was 47 ...and this despite massive negative Trump coverage   Russia hoax!  0746 EST  - Why is the United States Post Office  which is losing many billions of dollars a year  while charging Amazon and others so little to deliver their packages  making Amazon richer and the Post Office dumber and poorer? Should be charging MUCH MORE!  0804 EST  -- Source link   bit.ly 2jBh4LU   bit.ly 2jpEXYR    
REAL, The following statements were posted to the verified Twitter accounts of U.S. President Donald Trump   realDonaldTrump and  POTUS.  The opinions expressed are his own. Reuters has not edited the statements or confirmed their accuracy.   realDonaldTrump   - Together  we are MAKING AMERICA GREAT AGAIN! bit.ly 2lnpKaq  1814 EST  - In the East  it could be the COLDEST New Year s Eve on record. Perhaps we could use a little bit of that good old Global Warming that our Country  but not other countries  was going to pay TRILLIONS OF DOLLARS to protect against. Bundle up!  1901 EST  -- Source link   bit.ly 2jBh4LU   bit.ly 2jpEXYR    
REAL,Alabama Secretary of State John Merrill said he will certify Democratic Senator-elect Doug Jones as winner on Thursday despite opponent Roy Moore s challenge  in a phone call on CNN. Moore  a conservative who had faced allegations of groping teenage girls when he was in his 30s  filed a court challenge late on Wednesday to the outcome of a U.S. Senate election he unexpectedly lost.   
